MSE : 22.630327224731445, MAE : 2.2310054302215576 

 Nb params : 3.745M, FLOPs : 0.345T, Training time : 2.675813194444445 m/epoch,

 Now-casting metrics : 

['csi_10.0', 0.6542891236712044]

['hss_10.0', 0.746098982578395]

['pod_10.0', 0.8386259254251957]

['far_10.0', 0.2514687396881526]

['csi_20.0', 0.5494046406770814]

['hss_20.0', 0.6802057391166529]

['pod_20.0', 0.7581936999884212]

['far_20.0', 0.3338786230700087]

['csi_30.0', 0.33627487408647966]

['hss_30.0', 0.49059413439852145]

['pod_30.0', 0.5221435814537859]

['far_30.0', 0.5142272373066312]

['csi_40.0', 0.05412157363305404]

['hss_40.0', 0.10229411659383562]

['pod_40.0', 0.3995819735249899]

['far_40.0', 0.9410874254604825]

