MSE : 17.737586975097656, MAE : 2.053079605102539 

 Nb params : 23.585M, FLOPs : 2.826T, Training time : 20.50642708333333 m/epoch,  

 Now-casting metrics : 

['csi_10.0', 0.6834935567860247]

['hss_10.0', 0.7706778465216141]

['pod_10.0', 0.8453875600826743]

['far_10.0', 0.21886116801258948]

['csi_20.0', 0.5881536769005412]

['hss_20.0', 0.7154750002726686]

['pod_20.0', 0.8100635254278843]

['far_20.0', 0.3177623135363891]

['csi_30.0', 0.3698374646663882]

['hss_30.0', 0.5300644712729762]

['pod_30.0', 0.6627951600407285]

['far_30.0', 0.5444458468024701]

['csi_40.0', 0.08524960027596108]

['hss_40.0', 0.15651763586185877]

['pod_40.0', 0.3822582667948664]

['far_40.0', 0.9011293784363866]

