MSE : 19.743324279785156, MAE : 2.24222469329834 

 Now-casting metrics : 

['csi_10.0', 0.6580372880249608]

['hss_10.0', 0.7491502728316487]

['pod_10.0', 0.8373427536470275]

['far_10.0', 0.24552026201887542]

['csi_20.0', 0.560075364036864]

['hss_20.0', 0.6909844254259636]

['pod_20.0', 0.7952696850427687]

['far_20.0', 0.3455664070454806]

['csi_30.0', 0.33555480823561745]

['hss_30.0', 0.49200044865105697]

['pod_30.0', 0.6295052462239891]

['far_30.0', 0.5818681252450679]

['csi_40.0', 0.02246266701598114]

['hss_40.0', 0.04376923647699755]

['pod_40.0', 0.4216168371361133]

['far_40.0', 0.9768231433375323]

