MSE : 19.006786346435547, MAE : 2.1659305095672607 

 Nb params : 31.533M, FLOPs : 0.674T, Training time : 25.488088194444448 m/epoch,  

 Now-casting metrics : 

['csi_10.0', 0.668303341420967]

['hss_10.0', 0.7574140100143925]

['pod_10.0', 0.7716644524577718]

['far_10.0', 0.16696270976437405]

['csi_20.0', 0.5487625911705692]

['hss_20.0', 0.6823079879073408]

['pod_20.0', 0.6193634934605026]

['far_20.0', 0.17199411042646479]

['csi_30.0', 0.272197479692623]

['hss_30.0', 0.4191578427813579]

['pod_30.0', 0.3019217569863379]

['far_30.0', 0.26561679427887963]

