MSE : 19.546396255493164, MAE : 2.2144429683685303 

 Nb params : 31.545M, FLOPs : 0.674T, Training time : 25.478737500000005 m/epoch,  

 Now-casting metrics : 

['csi_10.0', 0.665062652184963]

['hss_10.0', 0.7540946901093663]

['pod_10.0', 0.7756895516080243]

['far_10.0', 0.17657669820236155]

['csi_20.0', 0.5701112468949803]

['hss_20.0', 0.6992727082739114]

['pod_20.0', 0.6752299650340244]

['far_20.0', 0.21449520231717673]

['csi_30.0', 0.3556526109694883]

['hss_30.0', 0.5138656006231536]

['pod_30.0', 0.4605899070000936]

['far_30.0', 0.390468281560094]

